Time (hour),DO (mol/L),NO3 (mol/L),NH4+ (mol/L),H+ (mol/L),pH
0.25,0.00882827,0.000391473,0.000708585,1.94E-08,7.712815529
0.5,0.111592118,0.000181971,0.002110168,5.73E-09,8.241908451
0.75,0.133947586,0.000327278,0.002092493,3.12E-09,8.505462209
1,0.12577653,0.000392628,0.001903932,3.35E-09,8.474489164
1.25,0.145695836,0.000547014,0.002352225,3.59E-09,8.445403496
1.5,0.157283684,0.000696828,0.002102265,3.44E-09,8.463689158
1.75,0.120685982,0.000952375,0.002026884,3.39E-09,8.470386226
2,0.143495878,0.001024587,0.001516104,4.03E-09,8.394236421
2.25,0.113726724,0.0012792,0.001442794,2.96E-09,8.528609316
2.5,0.144274409,0.001698232,0.001288522,3.09E-09,8.510741992
2.75,0.129828885,0.001800199,0.001370055,3.93E-09,8.40583421
3,0.139875881,0.001974149,0.000987815,4.26E-09,8.370408792
3.25,0.136137013,0.002237875,0.000895014,4.71E-09,8.326833023
3.5,0.15104062,0.002299073,0.000465225,4.99E-09,8.301885242
3.75,0.143132483,0.002636542,0.000241539,4.92E-09,8.307946877
4,0.252688394,0.00291848,0.00010715,5.26E-09,8.278704989
4.25,3.762647769,0.002879078,2.30E-06,4.25E-09,8.372007855
4.5,3.097355195,0.003158921,2.10E-06,4.14E-09,8.383356725
4.75,3.064626437,0.003334686,2.17E-06,3.34E-09,8.47619644
5,3.380664731,0.00323141,2.11E-06,3.70E-09,8.432026011
5.25,3.823534674,0.002664048,2.08E-06,3.23E-09,8.491356454
5.5,3.50255398,0.003281642,2.28E-06,3.02E-09,8.519379784
5.75,3.389541644,0.003397694,2.23E-06,3.23E-09,8.490519481
6,3.383697801,0.003106584,2.22E-06,2.77E-09,8.558002849
6.25,3.537396028,0.003348038,2.44E-06,2.89E-09,8.538865822
6.5,4.367744415,0.003743674,2.14E-06,2.94E-09,8.532191374
6.75,3.909161572,0.003838783,2.61E-06,2.72E-09,8.565431503
7,3.055705875,0.003673563,2.28E-06,2.68E-09,8.572111095
7.25,3.37436835,0.002710572,2.57E-06,3.06E-09,8.514811151
7.5,3.59727174,0.003689107,2.17E-06,2.72E-09,8.565776955
7.75,4.167167521,0.003375944,2.16E-06,2.68E-09,8.57206361
8,4.04623592,0.003039305,1.92E-06,2.68E-09,8.571145285
8.25,3.609166333,0.003453772,2.15E-06,2.65E-09,8.576623524
8.5,3.657770219,0.003291102,1.88E-06,2.98E-09,8.525153294
8.75,3.974759815,0.003434277,2.23E-06,2.61E-09,8.584046308
9,3.049721966,0.003840757,1.86E-06,3.06E-09,8.514270987
9.25,3.337294181,0.003887994,1.54E-06,2.97E-09,8.527736033
9.5,3.382849863,0.00314767,2.21E-06,2.91E-09,8.536439187
9.75,3.351241716,0.003989937,1.97E-06,2.13E-09,8.671122851
10,3.52081346,0.003921356,2.21E-06,2.38E-09,8.623631488
10.25,3.93460639,0.003884164,2.16E-06,2.44E-09,8.612145519
10.5,4.096268323,0.003330476,2.00E-06,2.86E-09,8.542960607
10.75,4.164025183,0.003447049,1.83E-06,3.24E-09,8.489713759
11,3.616535989,0.004235072,1.92E-06,2.80E-09,8.552662682
11.25,3.179611029,0.004097426,2.03E-06,3.01E-09,8.521001056
11.5,3.834772424,0.003247258,1.87E-06,3.11E-09,8.507020685
11.75,3.727862238,0.004065837,1.71E-06,3.12E-09,8.506274472
12,3.598523517,0.004155085,1.99E-06,2.53E-09,8.59769332
12.25,4.275047668,0.004033679,2.06E-06,2.75E-09,8.561365411
12.5,3.646140651,0.003944512,2.28E-06,2.46E-09,8.608211396
12.75,3.937370699,0.003845563,2.00E-06,2.87E-09,8.542843415
13,3.623566365,0.004573197,2.01E-06,2.47E-09,8.607735356
13.25,3.584860222,0.004591403,1.86E-06,2.84E-09,8.546228604
13.5,3.591017485,0.004198855,2.07E-06,2.48E-09,8.606306924
13.75,4.239275528,0.004762169,1.91E-06,3.02E-09,8.519633446
14,3.949070826,0.00292133,2.01E-06,2.48E-09,8.604848634
14.25,3.731438379,0.004794013,2.20E-06,2.79E-09,8.553840071
14.5,3.641446182,0.003935722,2.13E-06,3.18E-09,8.497872014
14.75,4.08589097,0.004068643,1.99E-06,2.77E-09,8.557627154
15,3.736620083,0.004985212,1.80E-06,3.13E-09,8.504533497
15.25,3.931125857,0.004452235,2.21E-06,2.94E-09,8.531964222
15.5,4.05918584,0.003811811,1.73E-06,2.67E-09,8.573018087
15.75,4.234984947,0.005700783,2.02E-06,3.16E-09,8.500162751
16,3.277830425,0.004858284,2.05E-06,2.48E-09,8.606306375
16.25,3.758482268,0.003997544,2.28E-06,2.67E-09,8.572937326
16.5,3.494232312,0.005362641,1.92E-06,2.60E-09,8.584517342
16.75,3.590007624,0.004139037,1.89E-06,2.46E-09,8.609541835
17,4.362826099,0.003809399,1.95E-06,2.77E-09,8.557890323
17.25,3.721803887,0.003999153,2.09E-06,2.32E-09,8.633743823
17.5,4.191079555,0.004377288,2.00E-06,3.35E-09,8.474884658
17.75,3.281547825,0.004461248,2.35E-06,2.92E-09,8.534555447
18,3.923761921,0.004683069,1.78E-06,2.46E-09,8.608965506
18.25,3.969118819,0.005565522,2.34E-06,2.18E-09,8.66161098
18.5,4.925159394,0.004413754,2.22E-06,2.71E-09,8.566976383
18.75,3.574958298,0.003782735,2.33E-06,3.15E-09,8.502323018
19,4.976905896,0.004560909,2.40E-06,2.44E-09,8.613202254
19.25,4.376476111,0.004164975,1.95E-06,2.93E-09,8.53368716
19.5,4.379951409,0.004276337,2.01E-06,2.77E-09,8.558069141
19.75,4.915585877,0.004718073,1.84E-06,2.79E-09,8.554699501
20,3.93765569,0.006240565,2.09E-06,2.68E-09,8.57204904
20.25,4.228266995,0.004583616,1.97E-06,3.58E-09,8.446001697
20.5,3.930342692,0.004595644,2.16E-06,2.81E-09,8.550703765
20.75,4.084150915,0.005017222,1.73E-06,3.10E-09,8.507960037
21,4.248607977,0.005354078,2.17E-06,2.45E-09,8.610424362
21.25,4.276246815,0.00503157,1.94E-06,2.61E-09,8.583036078
21.5,3.902903189,0.005340395,2.00E-06,3.21E-09,8.493487783
21.75,3.807175413,0.005893639,2.09E-06,3.18E-09,8.497321833
22,4.091142102,0.005855463,1.80E-06,2.91E-09,8.535701794
22.25,3.773232116,0.005174029,1.73E-06,2.50E-09,8.601480092
22.5,3.313722677,0.004987727,2.31E-06,2.58E-09,8.58883963
